OrderID,Date,CustomerID,ProdNumber,Quantity,Day,Month,MonthName,Year
1,2020-01-01,1866,EB514,2,1,1,January,2020
2,2020-01-01,1567,RS706,3,1,1,January,2020
3,2020-01-01,2064,TV804,6,1,1,January,2020
4,2020-01-01,287,DK203,1,1,1,January,2020
5,2020-01-01,422,EB517,5,1,1,January,2020
6,2020-01-01,954,EB519,5,1,1,January,2020
7,2020-01-02,726,RK604,2,2,1,January,2020
8,2020-01-02,1740,TV810,1,2,1,January,2020
9,2020-01-02,1652,TV804,2,2,1,January,2020
10,2020-01-02,1431,DS304,2,2,1,January,2020
11,2020-01-02,270,RK604,2,2,1,January,2020
12,2020-01-02,815,DK201,5,2,1,January,2020
13,2020-01-02,157,EB508,3,2,1,January,2020
14,2020-01-02,179,BP107,2,2,1,January,2020
15,2020-01-02,832,RK605,2,2,1,January,2020
16,2020-01-03,1465,DK205,3,3,1,January,2020
17,2020-01-03,678,RS702,2,3,1,January,2020
18,2020-01-03,1644,DS301,4,3,1,January,2020
19,2020-01-03,806,TV804,3,3,1,January,2020
20,2020-01-04,997,DK209,2,4,1,January,2020
21,2020-01-04,1272,TV804,3,4,1,January,2020
22,2020-01-04,832,DK205,4,4,1,January,2020
23,2020-01-04,1313,DS302,3,4,1,January,2020
24,2020-01-04,638,RS702,5,4,1,January,2020
25,2020-01-05,292,EB516,5,5,1,January,2020
26,2020-01-05,1865,TV802,2,5,1,January,2020
27,2020-01-05,1766,EB519,5,5,1,January,2020
28,2020-01-05,281,EB517,4,5,1,January,2020
29,2020-01-06,889,EB511,5,6,1,January,2020
30,2020-01-06,435,EB518,6,6,1,January,2020
31,2020-01-06,811,TV809,1,6,1,January,2020
32,2020-01-06,148,DK203,3,6,1,January,2020
33,2020-01-06,157,RS706,3,6,1,January,2020
34,2020-01-06,841,RK606,4,6,1,January,2020
35,2020-01-07,814,EB504,5,7,1,January,2020
36,2020-01-07,1930,DS306,5,7,1,January,2020
37,2020-01-07,426,RK605,4,7,1,January,2020
38,2020-01-07,1336,TV804,2,7,1,January,2020
39,2020-01-07,1708,EB501,1,7,1,January,2020
40,2020-01-07,43,DS306,4,7,1,January,2020
41,2020-01-07,378,EB502,6,7,1,January,2020
42,2020-01-07,856,TV802,3,7,1,January,2020
43,2020-01-07,1613,BP105,5,7,1,January,2020
44,2020-01-08,587,RK602,1,8,1,January,2020
45,2020-01-08,794,TV809,4,8,1,January,2020
46,2020-01-08,2104,EB509,6,8,1,January,2020
47,2020-01-08,1166,RK604,4,8,1,January,2020
